,Name,Rating,Review,C-type,HQ,Old,Employee
0,TCS,3.9,(45.4k Reviews),Public,"Mumbai,Maharashtra + 255 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(29.8k Reviews),Public,Dublin + 137 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,4.0,(27k Reviews),Private,Teaneck. New Jersey. + 89 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(34k Reviews),Public,"Mumbai,Maharashtra + 1022 more",28 years old,50k-1 Lakh Employees (India)
4,Wipro,3.9,(25.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 261 more",77 years old,1 Lakh+ Employees (India)
5,HDFC Bank,4.0,(36.7k Reviews),Public,"Mumbai,Maharashtra + 1162 more",28 years old,1 Lakh+ Employees (India)
6,Capgemini,3.9,(22k Reviews),Public,Paris + 75 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.9,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 163 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,4.0,(25.7k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 120 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.8,(19.9k Reviews),Public,"Pune,Maharashtra + 198 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(18k Reviews),Public,"New York,New York + 62 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(17.7k Reviews),Public,"Mumbai,Maharashtra + 1024 more",29 years old,50k-1 Lakh Employees (India)
12,IBM,4.2,(14.7k Reviews),Public,"Armonk,New York + 117 more",111 years old,50k-1 Lakh Employees (India)
13,Amazon,4.2,(14.9k Reviews),Public,"Seattle,Washington + 335 more",28 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(14.3k Reviews),Public,"Fremont,California + 66 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(20k Reviews),Public,"Mumbai,Maharashtra + 514 more",84 years old,10k-50k Employees (India)
16,Reliance jio,4.0,(13.7k Reviews),Public,"Navi Mumbai,Maharashtra + 931 more",15 years old,10k-50k Employees (India)
17,Vodafone Idea,4.3,(13.2k Reviews),Public,"Gandhinagar,Gujrat + 557 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(12.4k Reviews),Private,"Ahmedabad,Gujrat + 739 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(10.1k Reviews),Private,Paris + 116 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(12.9k Reviews),Public,"Mumbai,Maharashtra + 464 more",19 years old,10k-50k Employees (India)
21,Reliance Industr...,4.1,(39.2k Reviews),Public,"Navi Mumbai,Maharashtra + 445 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 482 more",27 years old,5k-10k Employees (India)
23,Deloitte,4.1,(8.7k Reviews),Private,"New York,New York + 131 more",177 years old,10k-50k Employees (India)
24,Tata Motors,4.1,(8.5k Reviews),Public,"Pune,Maharashtra + 380 more",77 years old,50k-1 Lakh Employees (India)
25,Reliance Retail,4.1,(13.5k Reviews),Private,"Navi Mumbai,Maharashtra + 563 more",16 years old,1 Lakh+ Employees (India)
26,Mahindra & Mahin...,4.1,(19.9k Reviews),Public,"Mumbai,Maharashtra + 396 more",77 years old,10k-50k Employees (India)
27,WNS,3.7,(6.5k Reviews),Private,"Mumbai,Maharashtra + 21 more",26 years old,10k-50k Employees (India)
28,IndusInd Bank,3.8,(6.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 539 more",28 years old,10k-50k Employees (India)
29,DXC Technology,3.9,(6.6k Reviews),Public,"Minato,Tokyo + 56 more",31 years old,10k-50k Employees (India)
30,Hinduja Global S...,4.0,(5.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 74 more",22 years old,1k-5k Employees (India)
31,Ernst & Young,3.8,(5.6k Reviews),Private,London + 70 more,20 years old,50k-1 Lakh Employees (India)
32,Maruti Suzuki,4.1,(5.6k Reviews),Public,"New Delhi,Delhi + 371 more",39 years old,10k-50k Employees (India)
33,Infosys BPM,4.0,(5.5k Reviews),"Bangalore/Bengaluru,Karnataka + 45 more",20 years old,10k-50k Employees (India),nan
34,Samsung,4.0,(8.6k Reviews),Public,Seoul + 420 more,84 years old,50k-1 Lakh Employees (India)
35,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 55 more",20 years old,10k-50k Employees (India)
36,BYJU'S,3.6,(9.6k Reviews),Private,"Bangalore,Karnataka + 157 more",11 years old,1k-5k Employees (India)
37,Ericsson,4.3,(5.2k Reviews),Private,"Stockholm,Stockholm County + 129 more",146 years old,10k-50k Employees (India)
38,Bajaj Finserv,4.1,(12.9k Reviews),Public,"Pune,Maharashtra + 633 more",15 years old,10k-50k Employees (India)
